stat_name,value,description
system.cpus0.bac.preDecUpdate::DirectCond,0,Number of branches extracted from the predecoder (Count)
system.cpus0.bac.preDecUpdate::DirectUncond,0,Number of branches extracted from the predecoder (Count)
system.cpus0.bac.preDecUpdate::IndirectCond,0,Number of branches extracted from the predecoder (Count)
system.cpus0.bac.preDecUpdate::IndirectUncond,0,Number of branches extracted from the predecoder (Count)
system.cpus0.bac.preDecUpdate::total,0,Number of branches extracted from the predecoder (Count)
system.cpus0.bac.noHistByType::NoBranch,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.noHistByType::Return,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.noHistByType::CallDirect,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.noHistByType::CallIndirect,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.noHistByType::DirectCond,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.noHistByType::DirectUncond,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.noHistByType::IndirectCond,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.noHistByType::IndirectUncond,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.noHistByType::total,0,Number and type of branches that were undetected by the BPU. (Count)
system.cpus0.bac.typeMissmatch,0,Number branches where the branch type miss match (Count)
system.cpus0.bac.multiBranchInst,0,Number branches because its not the last branch. (Count)
system.cpus0.bac.ftSizeDist::samples,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::mean,nan,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::stdev,nan,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::underflows,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::0-3,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::4-7,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::8-11,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::12-15,0,Number of bytes per fetch target (Count)
system.cpus0.bac.ftSizeDist::16-19,0,Number of bytes per fetch target (Count)
