
---------- Begin Simulation Statistics ----------
system.cpus0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpus0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpus0.MemDepUnit__2.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpus0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpus0.MemDepUnit__3.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpus0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpus0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpus0.bac.fetchTargets                       0                       # Number of fetch targets created  (Count)
system.cpus0.bac.branches                    28616186                       # Number of branches that BAC encountered (Count)
system.cpus0.bac.predTakenBranches           24172290                       # Number of branches that BAC predicted taken. (Count)
system.cpus0.bac.branchesNotLastuOp                 0                       # Number of branches that fetch encountered which are not the last uOp within a macrooperation. Jump to itself. (Count)
system.cpus0.bac.branchMisspredict             452236                       # Number of mispredicted branches (Count)
system.cpus0.bac.noBranchMisspredict             4126                       # Number of non-branch instructions mispredicted (Count)
system.cpus0.bac.squashBranchDecode              2148                       # Number of branches squashed from decode (Count)
system.cpus0.bac.squashBranchCommit            450088                       # Number of branches squashed from commit (Count)
system.cpus0.bac.preDecUpdate::NoBranch             0                       # Number of branches extracted from the predecoder (Count)
system.cpus0.bac.preDecUpdate::Return               0                       # Number of branches extracted from the predecoder (Count)
